time, Np, Nc, N
0.523256, 1, 2, 1
0.577160, 1, 4, 1
0.567502, 1, 8, 1
0.566256, 2, 1, 1
0.546287, 4, 1, 1
0.592071, 8, 1, 1
0.288601, 1, 1, 2
0.280889, 1, 2, 2
0.324480, 1, 4, 2
0.348772, 1, 8, 2
0.334502, 2, 1, 2
0.338295, 4, 1, 2
0.370112, 8, 1, 2
0.134579, 1, 1, 4
0.181525, 1, 2, 4
0.311100, 1, 4, 4
0.344921, 1, 8, 4
0.194074, 2, 1, 4
0.325209, 4, 1, 4
0.351175, 8, 1, 4
0.085624, 1, 1, 8
0.122586, 1, 2, 8
0.304085, 1, 4, 8
0.331150, 1, 8, 8
0.133158, 2, 1, 8
0.318070, 4, 1, 8
0.344956, 8, 1, 8
0.085360, 1, 1, 16
0.127072, 1, 2, 16
0.296970, 1, 4, 16
0.369231, 1, 8, 16
0.142686, 2, 1, 16
0.315750, 4, 1, 16
0.346118, 8, 1, 16
0.086509, 1, 1, 32
0.128099, 1, 2, 32
0.291967, 1, 4, 32
0.344181, 1, 8, 32
0.140236, 2, 1, 32
0.323751, 4, 1, 32
0.356908, 8, 1, 32
0.515184, 1, 1, 1
0.574710, 1, 2, 1
0.564868, 1, 4, 1
0.550036, 1, 8, 1
0.538540, 2, 1, 1
0.531885, 4, 1, 1
0.554528, 8, 1, 1
0.269795, 1, 1, 2
0.232139, 1, 2, 2
0.313819, 1, 4, 2
0.338605, 1, 8, 2
0.259665, 2, 1, 2
0.327953, 4, 1, 2
0.352572, 8, 1, 2
0.139626, 1, 1, 4
0.183446, 1, 2, 4
0.303412, 1, 4, 4
0.355459, 1, 8, 4
0.203209, 2, 1, 4
0.380341, 4, 1, 4
0.412674, 8, 1, 4
0.114159, 1, 1, 8
0.163977, 1, 2, 8
0.378262, 1, 4, 8
0.427020, 1, 8, 8
0.176061, 2, 1, 8
0.388306, 4, 1, 8
0.433718, 8, 1, 8
0.112432, 1, 1, 16
0.147558, 1, 2, 16
0.381920, 1, 4, 16
0.412327, 1, 8, 16
0.164155, 2, 1, 16
0.401717, 4, 1, 16
0.435170, 8, 1, 16
0.110561, 1, 1, 32
0.143372, 1, 2, 32
0.381018, 1, 4, 32
0.418188, 1, 8, 32
0.171390, 2, 1, 32
0.391091, 4, 1, 32
0.439870, 8, 1, 32
0.622104, 1, 1, 1
0.601154, 1, 2, 1
0.592000, 1, 4, 1
0.616849, 1, 8, 1
0.616686, 2, 1, 1
0.580756, 4, 1, 1
0.593333, 8, 1, 1
0.293303, 1, 1, 2
0.277577, 1, 2, 2
0.387042, 1, 4, 2
0.406650, 1, 8, 2
0.404413, 2, 1, 2
0.421176, 4, 1, 2
0.433446, 8, 1, 2
0.182418, 1, 1, 4
0.210026, 1, 2, 4
0.375623, 1, 4, 4
0.425584, 1, 8, 4
0.248553, 2, 1, 4
0.399832, 4, 1, 4
0.433996, 8, 1, 4
0.117960, 1, 1, 8
0.173430, 1, 2, 8
0.403614, 1, 4, 8
0.416000, 1, 8, 8
0.187691, 2, 1, 8
0.393937, 4, 1, 8
0.441033, 8, 1, 8
0.116452, 1, 1, 16
0.153926, 1, 2, 16
0.368001, 1, 4, 16
0.430044, 1, 8, 16
0.178348, 2, 1, 16
0.401105, 4, 1, 16
0.445024, 8, 1, 16
0.113820, 1, 1, 32
0.154254, 1, 2, 32
0.395485, 1, 4, 32
0.425607, 1, 8, 32
0.169736, 2, 1, 32
0.395507, 4, 1, 32
0.447914, 8, 1, 32
0.627234, 1, 1, 1
0.583567, 1, 2, 1
0.601481, 1, 4, 1
0.595581, 1, 8, 1
0.588268, 2, 1, 1
0.619623, 4, 1, 1
0.592333, 8, 1, 1
0.292387, 1, 1, 2
0.319098, 1, 2, 2
0.339510, 1, 4, 2
0.384512, 1, 8, 2
0.455430, 2, 1, 2
0.384250, 4, 1, 2
0.416006, 8, 1, 2
0.167705, 1, 1, 4
0.203466, 1, 2, 4
0.376412, 1, 4, 4
0.399829, 1, 8, 4
0.233869, 2, 1, 4
0.393510, 4, 1, 4
0.441699, 8, 1, 4
0.118127, 1, 1, 8
0.168950, 1, 2, 8
0.388925, 1, 4, 8
0.419591, 1, 8, 8
0.185881, 2, 1, 8
0.389738, 4, 1, 8
0.440017, 8, 1, 8
0.114765, 1, 1, 16
0.165130, 1, 2, 16
0.364837, 1, 4, 16
0.449938, 1, 8, 16
0.178964, 2, 1, 16
0.418443, 4, 1, 16
0.471711, 8, 1, 16
0.085625, 1, 1, 32
0.147551, 1, 2, 32
0.392306, 1, 4, 32
0.450939, 1, 8, 32
0.190457, 2, 1, 32
0.409314, 4, 1, 32
0.462379, 8, 1, 32
0.637931, 1, 1, 1
0.639320, 1, 2, 1
0.638866, 1, 4, 1
0.622149, 1, 8, 1
0.618434, 2, 1, 1
0.610147, 4, 1, 1
0.613129, 8, 1, 1
0.305957, 1, 1, 2
0.286626, 1, 2, 2
0.384546, 1, 4, 2
0.427029, 1, 8, 2
0.347473, 2, 1, 2
0.431939, 4, 1, 2
0.471085, 8, 1, 2
0.179592, 1, 1, 4
0.207561, 1, 2, 4
0.375002, 1, 4, 4
0.400910, 1, 8, 4
0.235759, 2, 1, 4
0.394750, 4, 1, 4
0.435957, 8, 1, 4
0.114567, 1, 1, 8
0.167383, 1, 2, 8
0.368284, 1, 4, 8
0.406437, 1, 8, 8
0.181084, 2, 1, 8
0.405677, 4, 1, 8
0.434313, 8, 1, 8
0.109920, 1, 1, 16
0.149187, 1, 2, 16
0.379026, 1, 4, 16
0.409476, 1, 8, 16
0.166135, 2, 1, 16
0.410248, 4, 1, 16
0.421433, 8, 1, 16
0.110289, 1, 1, 32
0.171313, 1, 2, 32
0.382454, 1, 4, 32
0.407609, 1, 8, 32
0.173173, 2, 1, 32
0.391539, 4, 1, 32
0.446665, 8, 1, 32
0.651506, 1, 1, 1
0.597998, 1, 2, 1
0.615315, 1, 4, 1
0.625778, 1, 8, 1
0.610167, 2, 1, 1
0.601285, 4, 1, 1
0.613817, 8, 1, 1
0.311206, 1, 1, 2
0.256691, 1, 2, 2
0.364655, 1, 4, 2
0.396126, 1, 8, 2
0.319615, 2, 1, 2
0.396214, 4, 1, 2
0.423655, 8, 1, 2
0.168641, 1, 1, 4
0.205252, 1, 2, 4
0.374336, 1, 4, 4
0.432239, 1, 8, 4
0.241875, 2, 1, 4
0.399497, 4, 1, 4
0.427390, 8, 1, 4
0.120425, 1, 1, 8
0.166909, 1, 2, 8
0.375588, 1, 4, 8
0.437694, 1, 8, 8
0.188627, 2, 1, 8
0.398445, 4, 1, 8
0.458912, 8, 1, 8
0.121258, 1, 1, 16
0.173160, 1, 2, 16
0.390310, 1, 4, 16
0.450443, 1, 8, 16
0.166443, 2, 1, 16
0.404758, 4, 1, 16
0.436752, 8, 1, 16
0.111239, 1, 1, 32
0.163342, 1, 2, 32
0.383768, 1, 4, 32
0.467322, 1, 8, 32
0.178154, 2, 1, 32
0.409484, 4, 1, 32
0.479807, 8, 1, 32
0.624777, 1, 1, 1
0.616474, 1, 2, 1
0.637122, 1, 4, 1
0.646171, 1, 8, 1
0.645193, 2, 1, 1
0.609912, 4, 1, 1
0.602041, 8, 1, 1
0.292885, 1, 1, 2
0.271428, 1, 2, 2
0.368790, 1, 4, 2
0.400234, 1, 8, 2
0.330322, 2, 1, 2
0.427721, 4, 1, 2
0.468971, 8, 1, 2
0.180206, 1, 1, 4
0.215319, 1, 2, 4
0.369679, 1, 4, 4
0.437275, 1, 8, 4
0.239102, 2, 1, 4
0.402156, 4, 1, 4
0.457597, 8, 1, 4
0.120254, 1, 1, 8
0.182191, 1, 2, 8
0.397758, 1, 4, 8
0.511840, 1, 8, 8
0.211747, 2, 1, 8
0.442058, 4, 1, 8
0.460159, 8, 1, 8
0.114601, 1, 1, 16
0.154324, 1, 2, 16
0.373207, 1, 4, 16
0.422907, 1, 8, 16
0.168518, 2, 1, 16
0.391072, 4, 1, 16
0.433957, 8, 1, 16
0.114441, 1, 1, 32
0.161601, 1, 2, 32
0.379679, 1, 4, 32
0.405439, 1, 8, 32
0.165862, 2, 1, 32
0.396522, 4, 1, 32
0.449733, 8, 1, 32
0.646141, 1, 1, 1
0.621381, 1, 2, 1
0.605921, 1, 4, 1
0.616673, 1, 8, 1
0.587518, 2, 1, 1
0.591423, 4, 1, 1
0.610135, 8, 1, 1
0.295080, 1, 1, 2
0.261321, 1, 2, 2
0.380028, 1, 4, 2
0.399841, 1, 8, 2
0.289261, 2, 1, 2
0.427393, 4, 1, 2
0.434515, 8, 1, 2
0.180506, 1, 1, 4
0.203937, 1, 2, 4
0.376969, 1, 4, 4
0.436112, 1, 8, 4
0.249637, 2, 1, 4
0.411906, 4, 1, 4
0.441978, 8, 1, 4
0.117651, 1, 1, 8
0.165507, 1, 2, 8
0.388387, 1, 4, 8
0.405353, 1, 8, 8
0.179059, 2, 1, 8
0.382306, 4, 1, 8
0.434939, 8, 1, 8
0.078893, 1, 1, 16
0.165510, 1, 2, 16
0.378805, 1, 4, 16
0.418878, 1, 8, 16
0.176138, 2, 1, 16
0.305557, 4, 1, 16
0.505070, 8, 1, 16
0.121151, 1, 1, 32
0.168028, 1, 2, 32
0.405276, 1, 4, 32
0.420623, 1, 8, 32
0.169626, 2, 1, 32
0.390551, 4, 1, 32
0.446893, 8, 1, 32
0.605582, 1, 1, 1
0.618650, 1, 2, 1
0.598818, 1, 4, 1
0.617386, 1, 8, 1
0.644879, 2, 1, 1
0.627452, 4, 1, 1
0.586632, 8, 1, 1
0.295734, 1, 1, 2
0.303598, 1, 2, 2
0.374382, 1, 4, 2
0.412601, 1, 8, 2
0.356819, 2, 1, 2
0.437137, 4, 1, 2
0.458578, 8, 1, 2
0.179452, 1, 1, 4
0.205991, 1, 2, 4
0.365830, 1, 4, 4
0.408121, 1, 8, 4
0.231361, 2, 1, 4
0.392084, 4, 1, 4
0.467098, 8, 1, 4
0.112818, 1, 1, 8
0.172360, 1, 2, 8
0.387655, 1, 4, 8
0.456445, 1, 8, 8
0.198501, 2, 1, 8
0.400388, 4, 1, 8
0.458027, 8, 1, 8
0.119437, 1, 1, 16
0.169393, 1, 2, 16
0.393450, 1, 4, 16
0.451912, 1, 8, 16
0.176195, 2, 1, 16
0.431010, 4, 1, 16
0.434513, 8, 1, 16
0.112546, 1, 1, 32
0.163525, 1, 2, 32
0.382184, 1, 4, 32
0.407923, 1, 8, 32
0.141632, 2, 1, 32
0.400569, 4, 1, 32
0.421770, 8, 1, 32
0.613199, 1, 1, 1
0.586596, 1, 2, 1
0.597096, 1, 4, 1
0.597971, 1, 8, 1
0.584207, 2, 1, 1
0.579463, 4, 1, 1
0.590298, 8, 1, 1
0.292651, 1, 1, 2
0.250074, 1, 2, 2
0.364302, 1, 4, 2
0.393131, 1, 8, 2
0.290629, 2, 1, 2
0.408851, 4, 1, 2
0.433156, 8, 1, 2
0.179406, 1, 1, 4
0.203837, 1, 2, 4
0.371290, 1, 4, 4
0.408386, 1, 8, 4
0.239358, 2, 1, 4
0.384055, 4, 1, 4
0.422897, 8, 1, 4
0.114998, 1, 1, 8
0.168471, 1, 2, 8
0.365192, 1, 4, 8
0.406021, 1, 8, 8
0.184127, 2, 1, 8
0.401558, 4, 1, 8
0.474172, 8, 1, 8
0.121972, 1, 1, 16
0.152651, 1, 2, 16
0.411214, 1, 4, 16
0.422789, 1, 8, 16
0.165190, 2, 1, 16
0.410166, 4, 1, 16
0.427037, 8, 1, 16
0.111796, 1, 1, 32
0.161370, 1, 2, 32
0.394087, 1, 4, 32
0.409185, 1, 8, 32
0.171017, 2, 1, 32
0.402276, 4, 1, 32
0.423322, 8, 1, 32
